,Unnamed: 0,SUCURSAL,PERIODO,MES,PROVEEDOR,FOLIO_VENTA,TIPO_VENTA,CANTIDAD_VENTA,TOTAL_VENTA,ULTIMO_COSTO,CODIGO_BARRAS,DTO_CLIENTE,TITULO,TIPO_PRODUCTO,PRECIO_LISTA,COSTO_DEL_DIA_VTA,AUTOR_,DTO_COMERCIAL_,EDITORIAL_,AREA_TEMATICA_,TEMA_,SUBTEMA_,Num_dia_ven,Fecha_ven,N_dia_ven,N_mes_ven,FONDO_180d
125932,157619,SUCURSAL_2,2022,12,EDITORIAL PLANETA MEXICANA,4443192.0,PISO DE VENTA,1.0,188.0,109.04,9786070733239,0.0,JesÃºs de Nazaret. Nada es lo que parece,LIBRO,188.0,109.04,"BENITEZ, J. J.",42.0,BOOKET,HUMANIDADES,RELIGION,PERSONAJES RELIGIOSOS,17,2022-12-17,SÃ¡bado,Diciembre,Fondo
25557,31996,SUCURSAL_1,2022,1,COLOFON SA DE CV,7236742.0,PISO DE VENTA,1.0,228.75,152.5,9788497167772,0.25,MIRCEA ELIADE Y CARL G JUNG. REFLEXIONES SOBRE EL LUGAR DEL MITO LA RELIGION Y LA CIENCIA EN SU OBRA,LIBRO,305.0,,"OLDMEADOW, HARRY",50.0,JOSE J DE OLAÃETA EDITOR,CIENCIAS SOCIALES,LITERATURA,MITOLOGIA,4,2022-01-04,Martes,Enero,Fondo
172271,211104,SUCURSAL_4,2021,2,COLOFON SA DE CV,825490.0,PISO DE VENTA,1.0,513.75,376.75,9788425432569,,"LOGICA DE LA CRUELDAD, LA",LIBRO,685.0,,"MELICH, JOAN CARLES",50.0,HERDER,HUMANIDADES,FILOSOFIA,FILOSOFIA,1,2021-02-01,Lunes,Febrero,Fondo
63119,77936,SUCURSAL_1,2022,9,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7313381.0,PISO DE VENTA,1.0,309.0,179.22,9786073801645,0.0,Perfectos mentirosos 2,LIBRO,309.0,179.22,"MIREZ, ALEX",42.0,MONTENA,JUVENIL,LITERATURA,LITERATURA JUVENIL,4,2022-09-04,Domingo,Septiembre,Fondo
50987,63739,SUCURSAL_1,2022,8,EDITORIAL PLANETA MEXICANA,7310269.0,PISO DE VENTA,1.0,248.0,143.84,9786070790515,0.0,La revoluciÃ³n de la glucosa,LIBRO,248.0,143.84,"INCHAUSPE, JESSIE",42.0,DIANA,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SALUD ALTERNATIVA,DIETAS Y EN FORMA,30,2022-08-30,Martes,Agosto,Novedad
84881,105017,SUCURSAL_5,2021,11,NIRVANA LIBROS SA DE CV,655019.0,PISO DE VENTA,1.0,277.5,185.0,9788491112938,0.25,ANATOMIA OCULTA. LA ICONOGRAFIA DEL CUERPO HUMANO EN LAS CIENCIAS ESOTERICAS,LIBRO,370.0,,"PELLEGRINO, ANDREA",50.0,EDICIONES OBELISCO,ESOTERISMO,ESOTERISMO,ENIGMAS Y CIENCIAS OCULTAS,21,2021-11-21,Domingo,Noviembre,Fondo
63650,78555,SUCURSAL_1,2022,12,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7344944.0,PISO DE VENTA,1.0,419.0,243.02,9786073805841,0.0,La paciente silenciosa,LIBRO,419.0,243.02,"MICHAELIDES, ALEX",42.0,ALFAGUARA,LITERATURA,LITERATURA,NOVELA POLICIACA Y DE SUSPENSO,13,2022-12-13,Martes,Diciembre,Fondo
144702,180760,SUCURSAL_3,2022,3,EDITORIAL OCEANO DE MEXICO SA DE CV,2007490.0,PISO DE VENTA,1.0,270.0,160.08,9786075572208,0.0,El huÃ©sped,LIBRO,270.0,,"NETTEL, GUADALUPE",44.8,ANAGRAMA,LITERATURA,LITERATURA,AUTORES MEXICANOS,4,2022-03-04,Viernes,Marzo,Fondo
141303,176844,SUCURSAL_2,2022,7,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,4398752.0,PISO DE VENTA,1.0,329.0,190.82,9786073814508,0.0,Ecos lejanos,LIBRO,329.0,190.82,"HUNTER, ERIN",42.0,EDICIONES SALAMANDRA,JUVENIL,LITERATURA,LITERATURA JUVENIL,24,2022-07-24,Domingo,Julio,Novedad
154349,191145,SUCURSAL_3,2021,10,COLOFON SA DE CV,1989167.0,PISO DE VENTA,1.0,256.0,176.0,9788425440403,0.2,TE CUENTO UN CUENTO. EL ARTE DE LAS METAFORAS Y LOS CUENTOS EN PSICOTERAPIA,LIBRO,320.0,,"CEBERIO, MARCELO R.",45.0,HERDER,HUMANIDADES,PSICOLOGIA,PSICOLOGIA GENERAL,23,2021-10-23,SÃ¡bado,Octubre,Fondo
100156,126286,SUCURSAL_5,2022,10,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,691880.0,PISO DE VENTA,1.0,249.0,,9786073818209,0.0,Invictor Detective y el secuestro de los compas,LIBRO,249.0,144.42,INVICTOR & ACENIX,42.0,ALTEA INFANTIL,NIÃOS,NIÃOS,DE 6 A 12 AÃOS,7,2022-10-07,Viernes,Octubre,Novedad
62618,77364,SUCURSAL_1,2022,9,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7312751.0,PISO DE VENTA,1.0,539.0,156.02,9786073191524,0.0,La montaÃ±a mÃ¡gica,LIBRO,539.0,312.62,"MANN, THOMAS",42.0,DEBOLSILLO,LITERATURA,LITERATURA,NARRATIVA UNIVERSAL,3,2022-09-03,SÃ¡bado,Septiembre,Fondo
52359,65348,SUCURSAL_1,2022,12,EDITORIAL PLANETA MEXICANA,7351783.0,PISO DE VENTA,1.0,328.0,190.24,9786070794773,0.0,El reflejo de la bruja,LIBRO,328.0,190.24,"REVELLES, RAIZA",42.0,PLANETA,JUVENIL,LITERATURA,LITERATURA JUVENIL,27,2022-12-27,Martes,Diciembre,Novedad
20501,26449,SUCURSAL_1,2021,9,NIRVANA LIBROS SA DE CV,7193441.0,PISO DE VENTA,1.0,399.0,280.0,9788497770392,0.2875,KRYON IX. EL NUEVO PRINCIPIO,LIBRO,560.0,,"CARROLL, LEE",50.0,EDICIONES OBELISCO,ESOTERISMO,ESOTERISMO,ENIGMAS Y CIENCIAS OCULTAS,18,2021-09-18,SÃ¡bado,Septiembre,Fondo
49962,62579,SUCURSAL_1,2022,12,EDITORIAL PLANETA MEXICANA,7344545.0,PISO DE VENTA,1.0,313.2,201.84,9786070786259,0.1,El peligro de estar cuerda,LIBRO,348.0,201.84,"MONTERO, ROSA",42.0,SEIX BARRAL,LITERATURA,LITERATURA,NARRATIVA IBEROAMERICANA,13,2022-12-13,Martes,Diciembre,Fondo
